Henry	henry	NP1		0				Z1mf	04:01:01	ZA01	
Herringman	herringman	NP1		0				Z99	NULL	04:10	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
at	at	II		0			Grammatical	Z5	04:03	ZC	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
Sign	sign	NN1	A6:2+ X4:1	0	02:01:14:09:05:06 03:09-15:02	AR:52:b:01 BG		Q1:1	01:01:10:02:02-02:06	AA:10:b	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
Anchor	anchor	NN1	Q4:3/S2mf	0	03:08:03:06:04-01 03:13:03:03:07:07-01:17	BF:23:e BK:05:g:04	Anchorite	M4/O2	03:08:03:06:04	BF:23:e	
in	in	II	B5-	2:2:1			Grammatical	altogether	04:03	ZC	
the	the	AT	B5-	2:2:2			Grammatical	altogether	04:03	ZC	
Lower	low	JJR	N3:7-- N5--	0	01:16:06:07-02 02:04:11:08	AP:06:d AU:21	Dejected	M6	01:12:02:04:06:01	AL:02:d:06	
Walk	walk	NN1		0	01:01:04:04:06:01-02:02 01:14:03:02-01	AA:03:i AN:03:a	walk	M1	03:13:04:13:16:07-05:07	BK:08:v:06	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
New	new	JJ		0	01:13:08:05:03	AM:08:d:02	New	T3-	02:01:12:07:05	AR:37:d	
Exchange	exchange	NN1	Q2:1/E3- G3	0	01:13:11:04 01:13:11:04-05	AM:11:d AM:11:d	Exchange	A9/S1:1:2+	02:07:03:07-06	AX:07	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
1663	1663	MC	T1:2 T3	0			Number	N1	01:16:04	AP:04	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
</P>	XMLCODE	NULL		0				Z99	NULL	04:10	
<HEAD>	XMLCODE	NULL		0				Z99	NULL	04:10	
To	to	II		0			Grammatical	Z5	04:03	ZC	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
KING	king	NN1		0	03:01:06:01:02:01-02:02 01:07:02:21-08:08:01:01	AY:06:a:02:a AG:01:ak	King	S7:1+/S2:2m	03:04:06:13:03:01	BB:06:h:03:a	
's	's	GE		0				Z5	04:03	ZC	
Most	most	RGT		0	01:16:02:01-01 01:16:01:09-10	AP:02:a AP:01:i	almost/nearly	A13:2	01:16:06:03:01-09	AP:06:a:01	
Excellent	excellent	JJ		0	01:15:16:01:01 02:04:19:09	AO:17:a:01 AU:37:d	Excellent	A5:1+++	02:03:01:06	AT:04	
MAJESTY	majesty	NN1	S7:1+	0				O4:2+	03:04:06:13:03-01	BB:06:h:03	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
</HEAD>	XMLCODE	NULL		0				Z99	NULL	04:10	
<P>	XMLCODE	NULL		0				Z99	NULL	04:10	
YOUR	your	APPGE		0				Z8	04:06	ZF	
Majesties	majesty	NN2	S7:1+	0				O4:2+	03:04:06:13:03-01	BB:06:h:03	
Curiosity	curiosity	NN1		0	02:02-01:06 02:02-02	AS AS	curiosity	X5:2+	02:02-01	AS	
to	to	TO		0			Grammatical	Z5	04:03	ZC	
survey	survey	VVI		0	01:09:08:03-12 01:09:08:03-06	AI:14:b AI:14:b	Survey	X2:4	01:01:09:01:02:02	AA:09:b	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
Subject	subject	NN1	C1/S2mf Q3	0	02:01:07:04:03	AR:11:a		X4:1	03:04:09-08	BB:09	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
this	this	DD1		0				Z8	04:03	ZC	
Discourse	discourse	NN1	Q1:2	0	02:07:03:07-01 02:07:04:04-11:02	AX:07 AX:16		Q2:1	02:07:03:06-10	AX:06	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
so	so	RG		0	01:15:20-07:01 01:16:06:01-01	AO:21 AP:06		A13:3	01:15:20-07	AO:21	
much	much	DA1	I1:3+	0	01:04:04:06 01:12:02:04:01	AD:03:f AL:02:d:01	Adult/mature	N5+	01:16:06:03-02	AP:06:a	
admired	admired	JJ	E2+	0	02:01:14:02 02:01:14:08	AR:50:a AR:51	admired	S7:2+	02:02:09:03-02	AS:12:c	
Antiquity	antiquity	NN1		0	01:02:01:06:04 01:13:08:04-03:03:01	AB:03 AM:08:c		T3+++	01:13:08:04:01-04	AM:08:c:01	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
STONE-HENG	stone-heng	NP1		0				Z99	NULL	04:10	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
hath	hath	VHZ		0			Grammatical	Z5	04:03	ZC	
sometime	sometime	RT	T1:1:1	0	01:13:02-04 01:13:03-06	AM:02 AM:03	sometimes/occasionally	T1/A7-	01:13:10:01-01	AM:10:b	
been	be	VBN	Z5	0	01:16:01:04 04:03	AP:01:d ZC	Grammatical	A3+	01:11:01:07	AK:01:g	
so	so	RG		0	01:11:03:01 01:13:08:05-10	AK:03:a AM:08:d	after/afterwards/later	A13:3	01:16:01:09-01	AP:01:i	
great	great	JJ	A11:1+ N3:2+	0	01:12:02:04:01 02:03:01:06	AL:02:d:01 AT:04	Large	A5:1+	02:02:08-06	AS:10	
and	and	CC		0				Z5	04:03	ZC	
urgent	urgent	JJ		0	02:07:06:06 02:05:02:02:01-04	AX:22 AV:01:b	urgent	A11:1+	02:02:08-12	AS:10	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
as	as	CSA		0	01:16:01:09-01	AP:01:i	Grammatical	Z5	04:03	ZC	
to	to	TO		0			Grammatical	Z5	04:03	ZC	
find	find	VVI	X2:1 X6+	0	01:15:10:02:01 01:15:10:02:01-01	AO:11:b:01 AO:11:b:01	Find/discover	A10+	01:11:01:07	AK:01:g	
a	a	AT1		0			Grammatical	Z5	04:03	ZC	
room	room	NN1	N3:6	0	01:12	AL	Room	H2	03:02:07:03:06:06	AZ:06:f:02:f	
in	in	II		0			Grammatical	Z5	04:03	ZC	
Your	your	APPGE		0				Z8	04:06	ZF	
Royal	royal	JJ		0	03:01:06:01:02:01-12 01:05:12:11:08:14-06:06:01:17	AY:06:a:02:a AE:08:i	Royal	S7:1+	03:01:06:01:02:01	AY:06:a:02:a	
Breast	breast	NN1	F1 O2	0	01:02:03:08:03:03:01 01:07:01:05:02-08	AB:17:e:03:d AG:01:d:02	breast	B1	01:05:11:02:02-02	AE:07:b	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
amidst	amidst	II		0			Grammatical	Z5	04:03	ZC	amid&amp;apos;st
Your	your	APPGE		0				Z8	04:06	ZF	
weightiest	weighty	JJT		0	03:03:16:03-02 03:13:03:04:05:05	BA:15:c BK:06:e:05	influential	Z99	03:04:01:01-01	BB:01:a	
Cares	care	NN2		0	01:15:15:01:05 01:15:15:01:05-04	AO:16:a:05 AO:16:a:05	Care/carefulness/attention	E6-	01:15:20:07	AO:21:g	
;	PUNC	YSCOL		0				PUNC	NULL	NULL	
and	and	CC		0				Z5	04:03	ZC	
to	to	TO		0			Grammatical	Z5	04:03	ZC	
carry	carry	VVI	A9+ Q4	0	01:12:05:01:01 01:12:05:09-04	AL:05:a AL:05:i	carry	M2	01:09:09:02:01-02	AI:15:a	
You	you	PPY		0				Z8mf	04:06	ZF	
many	many	DA2		0			Many	N5+	01:16:04:02:02	AP:04:i:02	
miles	mile	NNU2	N3:3+ N3:7	0	01:16:05:01-10:17:02 01:13:04:06-02	AP:05:a AM:04	mile	N3:3	01:16:05:01-10:17	AP:05:a	
out	out	II21	A9-	3:2:1	01:12:06:01-06:01 01:12:06:01-06	AL:06:a	M	Z5	01:14:05:11	AN:05:k	
of	of	II22	A9-	3:2:2	01:12:06:01-06:01 01:12:06:01-06	AL:06:a	M	Z5	01:14:05:11	AN:05:k	
Your	your	APPGE		0				Z8	04:06	ZF	
way	way	NN1	M6 M3/H3	0	01:15:20 01:11:01:07-13	AO:21 AK:01:g	Route/way	X4:2	03:10:03:01	BH:12:a	
toward	toward	II		0			Grammatical	Z5	04:03	ZC	
Safety	safety	NN1		0	01:15:15-04 01:15:15:02	AO:16 AO:16:b	Safety	A15+	01:15:15	AO:16	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
even	even	RR		0	02:01:12:08:02:01	AR:38:a	even	A13:1	01:16:02:02:04-02	AP:02:b:04	
at	at	II		0			Grammatical	Z5	04:03	ZC	
such	such	DA		4:2:1	01:16:02-02:02 01:16:02-02	AP:02 AP:02	such	A13:3	01:16:01:09-03	AP:01:i	
a	a	AT1		4:2:2	02:04:11:09-03:04	AU:22	M	A13:3	02:04:10:01-09	AU:08	
time	time	NNT1	T1:2 T1:3	0	02:04:11:09-03:04	AU:22	M	T1	02:04:10:01-09	AU:08	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
when	when	RRQ		0	04:03	ZC		Z5	01:13:03-12	AM:03	
any	any	DD		0	01:16:02:01-10:06 01:16:04:01-10	AP:02:a AP:04:a	any	N5:1+	01:16:02:01-10:06:01	AP:02:a	
Heart	heart	NN1	M6 A11:1+	0	01:02:03:23:02 02:01:01:01	AB:17:r:02 AR:02	Heart	B1	01:13:04-08	AM:04	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
but	but	CCB		0				Z5	04:03	ZC	
your	your	APPGE		0				Z8	04:06	ZF	
Fearless	fearless	JJ		0	01:15:15-08 02:01:13:02	AO:16 AR:45:b	Fearless	E5+	02:04:22:10	AU:47:c	
and	and	CC		0				Z5	04:03	ZC	
Invincible	invincible	JJ		0	01:15:11:02-02 01:15:16:01:01-01:01	AO:12:b AO:17:a:01	invincible	S7:1+	03:03:03-05	BA:03	
one	one	PN1		0				Z8	04:06	ZF	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
would	will	VM		0			Grammatical	A7+	04:03	ZC	
have	have	VHI		0			Grammatical	Z5	04:03	ZC	
been	be	VBN	Z5	0	01:16:01:04 04:03	AP:01:d ZC	Grammatical	A3+	01:11:01:07	AK:01:g	
wholly	wholly	RR		0	01:12:05:25:04-02 01:16:07:01-04:04	AL:05:v:02 AP:07:a		A13:2	01:16:07	AP:07	
filled	fill	VVN		0	01:03:03:17-05 01:12:04:03:01-04	AC:02:m AL:04:c:01	fill	N5:1+	02:05:03:03-03	AV:02:b	fill&amp;apos;d
with	with	IW		0			Grammatical	Z5	04:03	ZC	
apprehensions	apprehension	NN2	A9+ G2:1	0	02:01:14-01 02:01:13:03-02	AR:50 AR:45:e	apprehension	E6-	02:04:21:05-01	AU:43:a	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
Danger	danger	NN1	A7+	0	01:15:17:04-03 01:15:17:04-06	AO:18:c AO:18:c	Danger	A15-	01:15:17:04	AO:18:c	
:	PUNC	YSTP		0				PUNC	NULL	NULL	
For	for	IF		0			Grammatical	Z5	04:03	ZC	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
as	as	CSA		0	01:16:01:09-01	AP:01:i	Grammatical	Z5	04:03	ZC	
I	i	PPIS1		0			Pronoun	Z8mf	04:06	ZF	
have	have	VH0		0			Grammatical	Z5	04:03	ZC	
had	have	VHN	Z5 A2:2	0	02:06 02:01:08	AW AR:16	Have/possess	A9+	02:01	AR:01	
the	the	AT		0			Grammatical	Z5	04:03	ZC	
Honour	honour	NN1		0	02:02:09:05:03-06 02:02:09:05:05-03	AS:13:a AS:13:c	Honour	G2:2+	02:02:09:05:06	AS:13:c:01	
to	to	TO		0			Grammatical	Z5	04:03	ZC	
hear	hear	VVI	X2:3+ G2:1@	0	03:05:12:06:04 01:09:09-02	BC:09:f:04 AI:15	Hear	X3:2	01:09:09	AI:15	
from	from	II		0			Grammatical	Z5	04:03	ZC	
that	that	DD1		0	04:03	ZC	Pronoun	Z8	04:06	ZF	
Oracle	oracle	NN1		0	02:01:14:09:05:09-05 02:01:14:09:05:09-01	AR:52:b AR:52:b		Z99	02:01:12:08:03-03	AR:39	
of	of	IO		0			Grammatical	Z5	04:03	ZC	
Truth	truth	NN1		0	02:01:12:08-02 02:01:12:08-06	AR:38 AR:38	personified	A5:2+	02:01:12:08:03	AR:39	
and	and	CC		0				Z5	04:03	ZC	
Wisdom	wisdom	NP1		0				Z1mf	04:01:01	ZA01	
,	PUNC	YCOM		0				PUNC	NULL	NULL	
Your	your	APPGE		0				Z8	04:06	ZF	
Majesty	majesty	NN1	S7:1+	0	01:02:04:06:02-09 02:04:19:08-01	AB:18:f AU:37:c	glory/greatness	O4:2+	01:17:04:01:02-07	AQ:04:a:02	Majestie&amp;apos;s
's	's	GE		0				Z5	04:03	ZC	Majestie&amp;apos;s
own	own	DA	S5-	0	02:06:01-03:04 02:04:13:04	AW:01 AU:27:c	own	A9+	02:06:01-03	AW:01	
